date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-05-30,White House,Partner at King & Spalding Law Firm,Christopher Wray,,,White,White,,,
2017-05-30,By phone,CEO,Tim Cook,Executive,Apple,White,White,,,
2017-05-31,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-05-31,White House,Prime Minister of Vietnam,Nguyen Xuan Phuc,Foreign leader,,Asian,Asian,,,
2017-05-31,By phone,President of Afghanistan,Ashraf Ghani,Foreign leader,,White,White,,Afghanistan,
2017-05-31,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
2017-06-01,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-06-01,By phone,Prime Minister of Canada,Justin Trudeau,Foreign leader,,White,White,,Canada,
2017-06-01,By phone,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-06-01,By phone,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-06-01,By phone,President-elect of France,Emmanuel Macron,Foreign leader,,White,White,,France,
2017-06-02,White House,Senator of South Carolina,Lindsey Graham,U.S. politician,,White,White,Republican,,
2017-06-02,White House,Florida Attorney General,Pam Bondi,U.S. politician,,White,White,Republican,,
2017-06-02,White House,Arkansas Attorney General,Leslie Rutledge,U.S. politician,,White,White,Republican,,
2017-06-02,White House,Superintendent of Maryland State Police,William M Pallozzi,,,White,White,,,
2017-06-02,White House,National President,Chuck Canterbury,,Fraternal Order of Police,White,White,,,
2017-06-02,White House,Executive Director,Jim Pasco,,Fraternal Order of Police,White,White,,,
2017-06-02,White House,Sheriff,Greg Champagne,,"St. Charles Parish, LA",White,White,,,
2017-06-02,White House,Executive Director,Jonathan F Thompson,,National Sheriffs’ Association,White,White,,,
2017-06-02,White House,Sheriff,Carolyn Welsh,,"Chester County, Pa.",White,White,,,
2017-06-02,White House,Sheriff,Vernon P Stanforth,,Fayette County (OH) Sheriff's Department,White,White,,,
2017-06-02,White House,Sheriff,Mark Wasylyshyn,,Wood County (OH) Sheriff's Department,White,White,,,
2017-06-02,White House,Sheriff,Craig Webre,,Lafourche Parish (LA) Sheriff's Department,White,White,,,
2017-06-02,White House,Sheriff,Paul Laney,,Cass County (ND) Sheriff's Department,White,White,,,
2017-06-02,White House,"President of Fraternal Order of Police, Lodge 89",John Teletchea,,Prince George's County Police Department,White,White,,,
2017-06-02,White House,"President of Fraternal Order of Police, Lodge 70",O'Brien Atkinson,,Anne Arundel County (MD) Sheriff's Department,White,White,,,
2017-06-02,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-06-02,White House,Detective,William Raddatz,,St. Mary's County (MD) Sheriff's Department,White,White,,,
2017-06-02,White House,"1st Vice President of Fraternal Order of Police, Lodge 70",Mark Gass,,Anne Arundel County (MD) Sheriff's Department,White,White,,,
2017-06-02,White House,"Lodge Conductor for Fraternal Order of Police, Lodge 70",Michael Shier,,Anne Arundel County (MD) Sheriff's Department,White,White,,,
2017-06-02,White House,Officer,Joshua Shapiro,,Anne Arundel County (MD) Sheriff's Department,White,White,,,
2017-06-02,White House,Sergeant,Clyde Boatwright,,Baltimore Police Department,Black,Black,,,"First Vice President, Maryland Fraternal Order of Police"
2017-06-02,White House,,Tracy Lieberman,,Maryland Park Police,White,White,,,
2017-06-02,White House,,Nick Harlow,,Albemarle County (VA) Police Department,White,White,,,
2017-06-02,White House,"Chaplain, Fraternal Order of Police, Lodge 70",Kiersten Thompson,,Anne Arundel County (MD) Sheriff's Department,,,,,
2017-06-02,By phone,"""The Five"" Co-Host",Kimberly Guilfoyle,Media,FOX News,White,White,,,
2017-06-03,By phone,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-06-04,White House,Tennessee Senator,Bob Corker,U.S. politician,,White,White,Republican,,
2017-06-04,White House,Former NFL Quarterback,Peyton Manning,Celebrity/athlete,,White,White,,,
2017-06-05,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-06-05,White House,Secretary of Education,Betsy DeVos,Cabinet member,,White,White,Republican,,
2017-06-05,White House,Former Transportation Secretary,James Burnley,,,White,White,Republican,,
2017-06-05,White House,Former Transportation Secretary,Elizabeth Dole,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Former Transportation Secretary,Mary Peters,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Texas Senator,Ted Cruz,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-06-05,White House,California Representative,Jeff Denham,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Missouri Congressman,Sam Graves,U.S. politician,,White,White,Republican,,
2017-06-05,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-06-05,White House,North Carolina Representative,Patrick McHenry,U.S. politician,,White,White,Republican,,
2017-06-05,White House,North Carolina Representative,Mark Meadows,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Pennsylvania Representative,Pat Meehan,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Georgia Congressman,Rob Woodall,U.S. politician,,White,White,Republican,,
2017-06-05,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-06-05,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
2017-06-06,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-06-06,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-06-06,By phone,King of Saudi Arabia,Salman bin Abdulaziz Al-Saud,Foreign leader,,White,White,,Saudi Arabia,
