date,place,title,visitor_name,type,organisation,gender,race,party,nationality,note
2017-03-07,White House,North Carolina Representative,Patrick McHenry,U.S. politician,,White,White,Republican,,
2017-03-07,White House,President,Richard Trumka,Union,AFL-CIO,White,White,,,
2017-03-07,White House,House Judiciary Committee Chairman,Bob Goodlatte,U.S. politician,,White,White,Republican,,
2017-03-07,White House,Oklahoma Representitive,Tom Cole,U.S. politician,,White,White,Republican,,
2017-03-07,By phone,President of Kenya,Uhuru Muigai Kenyatta,Foreign leader,,Black,Black,,Kenya,
2017-03-08,White House,CEO,Elon Musk,Executive,Tesla and others,White,White,,,
2017-03-08,White House,Founder,Laurene Jobs,Executive,Emerson Collective,White,White,,,Widow of Steve Jobs
2017-03-08,White House,Co-Founder,Josh Harris,Executive,Apollo Global Management,White,White,,,
2017-03-08,White House,Partner,Tyler Duvall,Executive,McKinsey & Company,White,White,,,
2017-03-08,White House,Secretary of the Interior,Ryan Zinke,Cabinet member,,White,White,,,
2017-03-08,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-03-08,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-03-08,White House,Secretary of Energy,Rick Perry,Cabinet member,,White,White,,,
2017-03-08,White House,Maryland Representative,Elijah Cummings,U.S. politician,,Black,Black,Democrat,,
2017-03-08,White House,Alaska Senator,Lisa Murkowski,U.S. politician,,White,White,Republican,,
2017-03-08,White House,Alaska Senator,Dan Sullivan,U.S. politician,,White,White,Republican,,
2017-03-08,White House,Texas Senator,Ted Cruz,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-08,White House,Investment Manager,Heidi Cruz,,Goldman Sachs,White,White,,,Wife of Ted Cruz
2017-03-08,White House,President,David McIntosh,,Club for Growth,White,White,,,
2017-03-08,White House,President,Jim DeMint,,Heritage Foundation,White,White,,,
2017-03-08,White House,President,Tim Phillips,,Americans for Prosperity,White,White,,,
2017-03-08,White House,President,Adam Brandon,,FreedomWorks,White,White,,,
2017-03-08,White House,Ceo,Mike Needham,,Heritage Action,White,White,,,
2017-03-08,White House,Co-Founder and National Coordinator,Jenny Martin,,Tea Party Patriots,White,White,,,
2017-03-08,White House,CEO,Richard LeFrak,Executive,LeFrak,White,White,,,
2017-03-08,White House,CEO,Steve Roth,Executive,Vornado Realty Trust,White,White,,,
2017-03-08,White House,CEO,Bill Ford,Executive,General Atlantic,White,White,,,
2017-03-08,White House,"Managing Director, Public Policy",Lynn Scarlett,,Nature Conservancy,White,White,,,
2017-03-09,White House,President and CEO,Luanne Cundiff,Executive,First State Bank of St. Charles,White,White,,,
2017-03-09,White House,Chairman and CEO,Rebeca Romero Rainey,Executive,Centinel Bank of Taos,White,White,,,
2017-03-09,White House,CEO,Dorothy Savarese,Executive,Cape Cod Five Mutual Company,White,White,,,
2017-03-09,White House,CEO,Laura Stewart,Executive,Sound Community Bank and Sound Financial Bancorp.,White,White,,,
2017-03-09,White House,Chairman,Ken Burgess,Executive,FirstCapital Bank of Texas,White,White,,,
2017-03-09,White House,CEO,Jeff Szyperski,Executive,Chesapeake Bank,White,White,,,
2017-03-09,White House,President,Leslie Andersen,Executive,Bank of Bennington,White,White,,,
2017-03-09,White House,CEO,Rob Nichols,Executive,ABA,White,White,,,
2017-03-09,White House,President,Scott Heitkamp,Executive,ValueBank Texas,White,White,,,
2017-03-09,White House,President,Tim Zimmerman,Executive,Standard Bank,White,White,,,
2017-03-09,White House,President and CEO,Cam Fine,Executive,ICBA,White,White,,,
2017-03-09,White House,CIA Director,Mike Pompeo,Cabinet member,,White,White,,,
2017-03-09,White House,Former Secretary of Commerce,Pete Peterson,U.S. politician,,White,White,Republican,,
2017-03-09,White House,Secretary of Homeland Security,John Kelly,Cabinet member,,White,White,,,
2017-03-10,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-10,White House,Secretary of Housing and Urban Development,Ben Carson,Cabinet member,,Black,Black,,,
2017-03-10,White House,Chairman of House Energy and Commerce Committee,Greg Walden,U.S. politician,,White,White,Republican,,
2017-03-10,White House,Texas Representative,Kevin Brady,U.S. politician,,White,White,Republican,,
2017-03-10,White House,Tennessee Representative,Diane Black,U.S. politician,,White,White,Republican,,
2017-03-10,White House,North Carolina Representative,Virginia Foxx,U.S. politician,,White,White,Republican,,
2017-03-10,White House,House Judiciary Committee Chairman,Bob Goodlatte,U.S. politician,,White,White,Republican,,
2017-03-10,By phone,President of Palestinian Authority,Mahmoud Abbas,Foreign leader,,White,White,,,
2017-03-13,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-13,White House,Secretary of Health and Human Services,Tom Price,Cabinet member,,White,White,,,
2017-03-13,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-03-13,By phone,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-03-13,White House,,Kim Sertich,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,,Carrie Couey,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,,Elias Seife,,,Hispanic,Hispanic,,,"""Obamacare Victim"""
2017-03-13,White House,,Brittany Ivey,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,,Greg Knox,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,,Joel Brown,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,Founder,Manny Sethi,,Healthy Tennessee,White,White,,,
2017-03-13,White House,,Robin Armstrong,,,Black,Black,,,"Doctor, Obamacare Opponnent"
2017-03-13,White House,,Stan Summers,,,White,White,,,"""Obamacare Victim"""
2017-03-13,White House,,Louis Brown,,,Black,Black,,,Christ Medicus Foundation
2017-03-13,White House,,Gina Sell,,,White,White,,,"""Obamacare Victim"""
2017-03-14,By phone,Secretary of Health and Human Services,Tom Price,Cabinet member,,White,White,,,
2017-03-14,By phone,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-03-14,By phone,"Chairman, President and CEO",Joseph Swedish,Executive,Anthem,White,White,,,
2017-03-14,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-03-14,White House,Deputy Crown Prince of Saudi Arabia,Mohammad bin Salman Al Saud,Foreign leader,,White,White,,Saudi Arabia,
2017-03-15,Detroit,CEO,Sergio Marchionne,Executive,Fiat Chrysler,White,White,,,
2017-03-15,Detroit,Then-President and CEO,Mark Fields,Executive,Ford,White,White,,,
2017-03-15,Detroit,Interim President and CEO,Jerry Flannery,Executive,Hyundai Motor Company,White,White,,,
2017-03-15,Detroit,CEO,James Lentz,Executive,Toyota Motor North America,White,White,,,
2017-03-15,Detroit,"Chief Performance Officer, Chairman",Jose Munoz,Executive,Nissan Motor Company,White,White,,,
2017-03-15,Detroit,Executive Vice President,Rick Schostek,Executive,"Honda North America, Inc.",White,White,,,
2017-03-15,Detroit,COO and Executive Vice President,Michael Sprague,Executive,Kia Motors America,White,White,,,
2017-03-15,Detroit,Senior Executive Vice President for Public Affairs and Public Pollicy,David Geanacopoulos,Executive,Volkswagen,White,White,,,
2017-03-15,Detroit,"President, CEO and Director of the Tier One Automotive Supplier International Automotive Components",Robert Miller,Executive,IAC Group,White,White,,,
2017-03-15,Detroit,CEO,Robert Kaiser,Executive,Gallagher Kaiser,White,White,,,
2017-03-15,Detroit,CEO,David Dauch,Executive,AAM,White,White,,,
2017-03-15,White House,Secretary of Transportation,Elaine Chao,Cabinet member,,Asian,Asian,Republican,,
2017-03-15,White House,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-03-15,Detroit,Michigan Governor,Rick Snyder,U.S. politician,,White,White,Republican,,
2017-03-15,Detroit,President,Dennis Williams,Union,United Auto Workers,White,White,,,
2017-03-15,Detroit,Vice President,Cindy Estrada,Union,United Auto Workers,Hispanic,Hispanic,,,
2017-03-15,Detroit,CEO,Mary Barra,Executive,General Motors,White,White,,,
2017-03-15,Detroit,CEO,Dietmar Exler,Executive,Mercedes-Benz USA,White,White,,,
2017-03-15,Detroit,CEO,Lex Kerssemakers,Executive,Volvo Cars USA,White,White,,,
2017-03-15,Detroit,Fox News Host,Tucker Carlson,Media,FOX News,White,White,,,
2017-03-15,White House,Director of the White House Office of Management and Budget,Mick Mulvaney,Cabinet member,,White,White,Republican,,
2017-03-16,White House,Former Taoiseach of Ireland,Enda Kenny,Foreign leader,,White,White,,Ireland,
2017-03-16,White House,Oklahoma Representative,Markwayne Mullin,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Chairman and CEO,Andrew Liveris,Executive,Dow Chemical,White,White,,,
2017-03-17,White House,CEO,Harald Krüger,Executive,BMW AG,White,White,,,
2017-03-17,White House,CEO,Joe Kaeser,Executive,Siemens AG,White,White,,,
2017-03-17,White House,CEO,Klaus Rosenfeld,Executive,Schaeffler AG,White,White,,,
2017-03-17,White House,CEO,Marc Benioff,Executive,Salesforce,White,White,,,
2017-03-17,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
2017-03-17,Mar-a-Lago,Secretary of Commerce,Wilbur Ross,Cabinet member,,White,White,,,
2017-03-17,White House,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-03-17,White House,Kentucky Representative,Andy Barr,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Indiana Representative,Jim Banks,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Tennessee Representative,Marsha Blackburn,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Texas Representative,Blake Farenthold,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Utah Representative,Mia Love,U.S. politician,,Black,Black,Republican,,
2017-03-17,White House,Georgia Representative,Barry Loudermilk,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Alabama Representative,Gary Palmer,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Texas Representative,John Ratcliffe,U.S. politician,,White,White,Republican,,
2017-03-17,White House,North Carolina Representative,Mark Walker,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Arkansas Representative,Bruce Westerman,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Alabama Representative,Robert Aderholt,U.S. politician,,White,White,Republican,,
2017-03-17,White House,North Carolina Representative,Patrick McHenry,U.S. politician,,White,White,Republican,,
2017-03-17,White House,Executive Director,Verna Jones,,American Legion,Black,Black,,,
2017-03-17,White House,Deputy Director,Ryan Gallucci,,Veterans of Foreign Wars,White,White,,,
2017-03-17,White House,National Executive Director,Joe Chenelly,,AMVETS,White,White,,,
2017-03-17,White House,Executive Director,Gary Augustine,,Disabled American Veterans,White,White,,,
2017-03-17,White House,CEO/COO,Jack Leonard,,Military Order of the Purple Heart,White,White,,,
2017-03-17,White House,President and CEO,Jared Lyon,,Student Veterans of America,White,White,,,
2017-03-17,White House,Executive Director,Bill Rausch,,Got Your 6,White,White,,,
2017-03-17,White House,Legislative Director,Rick Weidman,,Vietnam Veterans of America,White,White,,,
2017-03-17,White House,Executive Director,Mark Lucas,,Concerned Veterans for America,White,White,,,
2017-03-17,White House,Executive Director,Sherman Gillums,,Paralyzed Veterans of America,Black,Black,,,
2017-03-17,White House,CEO,Ginni Rometty,Executive,IBM,White,White,,,
2017-03-17,White House,"Louisiana Representative, House Majority Whip",Steve Scalise,U.S. politician,,White,White,Republican,,
2017-03-17,Nashville,Fox News Host,Jesse Watters,Media,FOX News,White,White,,,
2017-03-18,Mar-a-Lago,CEO,Ike Perlmutter,Executive,Marvel Entertainment,White,White,,,
2017-03-18,Mar-a-Lago,Secretary of Commerce,Wilbur Ross,Cabinet member,,White,White,,,
2017-03-18,Mar-a-Lago,Lawyer,Alan Dershowitz,,,White,White,,,
2017-03-18,Mar-a-Lago,"Contestant on ""Master Chef""",Max Kramer,Celebrity/athlete,,White,White,,,
2017-03-18,Mar-a-Lago,Co-Founder,Peter Flaherty,Executive,The Shawmut Group,White,White,,,Former Romney Adviser
2017-03-18,Mar-a-Lago,CEO,Christopher Ruddy,Executive,Newsmax Media,White,White,,,
2017-03-18,By phone,President of Brazil,Michel Temer,Foreign leader,,Hispanic,Hispanic,,Brazil,
2017-03-19,Mar-a-Lago,CEO,Robert Kraft,Executive,Kraft Group,White,White,,,
2017-03-19,By phone,President of Chile,Michelle Bachelet,Foreign leader,,Hispanic,Hispanic,,Chile,
2017-03-20,White House,Co-Founder,Bill Gates,Executive,Microsoft,White,White,,,
2017-03-20,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-20,White House,Secretary of Health and Human Services,Tom Price,Cabinet member,,White,White,,,
2017-03-20,White House,Prime Minister of Iraq,Haider al-Abadi,Foreign leader,,White,White,,Iraq,
2017-03-20,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-03-20,White House,Professor,Zeke Emanuel,,University of Pennsylvania,White,White,,,"Oncologist, Bioethicist"
2017-03-20,"Louisville, Kentucky",Reporter,Lawrence Smith,Media,WDRB,Black,Black,,,
2017-03-20,"Louisville, Kentucky",Evening Anchor,Tricia Macke,Media,Fox 19,White,White,,,
2017-03-21,White House,Florida Senator,Marco Rubio,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-21,White House,Ohio Representative,Bill Johnson,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Texas Senator,Ted Cruz,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-21,White House,Florida Senator,Bill Nelson,U.S. politician,,White,White,Democrat,,
2017-03-21,White House,Alabama Senator,Luther Strange,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Pennsylvania Representative,Charlie Dent,U.S. politician,,White,White,Republican,,
2017-03-21,White House,New Jersey Representative,Tom MacArthur,U.S. politician,,White,White,Republican,,
2017-03-21,White House,New York Representative,Elise Stefanik,U.S. politician,,White,White,Republican,,
2017-03-21,White House,New York Representative,John Faso,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Pennsylvania Representative,Ryan Costello,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Illinois Representative,Rodney Davis,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Pennsylvania Representative,Pat Meehan,U.S. politician,,White,White,Republican,,
2017-03-21,White House,New York Representative,Dan Donovan,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Maine Representative,Bruce Poliquin,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Arizona Representative,Martha McSally,U.S. politician,,White,White,Republican,,
2017-03-21,White House,California Representative,Jeff Denham,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Michigan Representative,Fred Upton,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Illinois Representative,Adam Kinzinger,U.S. politician,,White,White,Republican,,
2017-03-21,White House,"Texas Representative, Chairman of the House Science Committee",Lamar Smith,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Oklahoma Representative,Frank Lucas,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Alabama Representative,Mo Brooks,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Oklahoma Representative,Jim Bridenstine,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Texas Representative,Brian Babin,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Mississippi Representative,Steven Palazzo,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Alabama Representative,Robert Aderholt,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Florida Representative,Bill Posey,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Texas Representative,John Culberson,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Florida Representative,Neal Dunn,U.S. politician,,White,White,Republican,,
2017-03-21,White House,Alabama Representative,Martha Roby,U.S. politician,,White,White,Republican,,
2017-03-21,White House,"Louisiana Representative, House Majority Whip",Steve Scalise,U.S. politician,,White,White,Republican,,
2017-03-21,White House,New Jersey Representative,Leonard Lance,U.S. politician,,White,White,Republican,,
2017-03-21,White House,California Representative,Kevin McCarthy,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-22,White House,Secretary of Health and Human Services,Tom Price,Cabinet member,,White,White,,,
2017-03-22,By phone,Prime Minister of Britain,Theresa May,Foreign leader,,White,White,,United Kingdom,
2017-03-22,White House,Missouri Representative,Ann Wagner,U.S. politician,,White,White,Republican,,
2017-03-22,White House,West Virginia Representative,David McKinley,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Virginia Representative,Morgan Griffith,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Ohio Representative,Jim Renacci,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Georgia Representative,Tom Graves,U.S. politician,,White,White,Republican,,
2017-03-22,White House,North Carolina Representative,Richard Hudson,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Arkansas Representative,Rick Crawford,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Georgia Representative,Jody Hice,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Florida Representative,Daniel Webster,U.S. politician,,White,White,Republican,,
2017-03-22,White House,North Carolina Representative,Patrick McHenry,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Georgia Representative,Buddy Carter,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Alabama Representative,Martha Roby,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Virginia Representative,Scott Garrett,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Virginia Representative,Rob Wittman,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Florida Representative,Ted Yoho,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Indiana Representative,Trey Hollingsworth,U.S. politician,,White,White,Republican,,
2017-03-22,White House,Iowa Representative,Steve King,U.S. politician,,White,White,Republican,,
2017-03-22,White House,"Louisiana Representative, Chair of the Congressional Black Caucus",Cedric Richmond,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,South Carolina Representative,Jim Clyburn,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,Indiana Representative,Andre Carson,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,Maryland Representative,Anthony Brown,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,Michigan Representative,Brenda Lawrence,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,Wisconsin Representative,Gwen Moore,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,California Representative,Karen Bass,U.S. politician,,Black,Black,Democrat,,
2017-03-22,White House,California Representative,Devin Nunes,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-22,White House,"Louisiana Representative, House Majority Whip",Steve Scalise,U.S. politician,,White,White,Republican,,
2017-03-22,By phone,Washington Bureau Chief,Michael Scherer,Media,Time Inc.,White,White,,,
2017-03-22,White House,Director of National Intelligence,Dan Coats,Cabinet member,,White,White,,,
2017-03-22,White House,CIA Director,Mike Pompeo,Cabinet member,,White,White,,,
2017-03-23,White House,Founding Partner,Nelson Peltz,Executive,Trian Fund Management,White,White,,,
2017-03-23,White House,CEO,David Congdon,Executive,Old Dominion Freight Lines,White,White,,,
2017-03-23,White House,President and CEO,Michael Ducker,Executive,FedEx,White,White,,,
2017-03-23,White House,Owner,Jim Burg,Executive,JBTC Trucking,White,White,,,
2017-03-23,White House,President,Kevin Burch,Executive,Jet Express Trucking,White,White,,,
2017-03-23,White House,President and CEO,Dennis Nash,Executive,The Kenan Advantage Group,White,White,,,
2017-03-23,White House,CEO,Eric Fuller,Executive,U.S. Xpress Enterprises,White,White,,,
2017-03-23,White House,Chairman,John Smith,Executive,CRST,White,White,,,
2017-03-23,White House,President and CEO,Tonn Ostergaard,Executive,Crete Carrier Corporation,White,White,,,
2017-03-23,White House,President,Rick McArdle,Executive,UPS,White,White,,,
2017-03-23,White House,Chief Commerical Officer,Jerry Langer,Executive,Langer Transport Corporation,White,White,,,
2017-03-23,White House,Secretary of the Treasury,Steven Mnuchin,Cabinet member,,White,White,,,
2017-03-23,White House,Speaker of the House,Paul Ryan,U.S. politician,,White,White,Republican,,
2017-03-23,White House,Virginia Representative,Dave Brat,U.S. politician,,White,White,Republican,,
2017-03-23,White House,Truck Driver,Charlton Paul,,UPS Freight,Black,Black,,,
2017-03-23,White House,Truck Driver,Ralph Garcia,,ABF Brake Systems,Hispanic,Hispanic,,,
2017-03-23,White House,Truck Driver,Russel Simpson,,,White,White,,,
2017-03-23,White House,Truck Driver,Earl Taylor,,,White,White,,,
2017-03-23,White House,Truck Driver,Steve Fields,,Marcy Freight,White,White,,,
2017-03-23,White House,President and CEO,Chris Spear,Executive,American Trucking Association,White,White,,,
2017-03-23,White House,Truck Driver,John Lex,,Walmart,White,White,,,
2017-03-23,White House,Truck Driver,Don Logan,,FedEx,White,White,,,
2017-03-23,White House,Truck Driver,Rhonda Hartman,,Old Dominion Freight Lines,White,White,,,
2017-03-23,,President and CEO,Neal Kedzie,,Wisconsin Motor Carriers Association,White,White,,,
2017-03-24,White House,President and CEO,Russ Girling,Executive,TransCanada,White,White,,,
2017-03-24,White House,CEO,Thomas Rutledge,Executive,Charter Communications,White,White,,,
2017-03-24,White House,Secretary of the Treasury,Steven Mnuchin,Cabinet member,,White,White,,,
2017-03-24,White House,Secretary of Veterans Affairs,David Shulkin,Cabinet member,,White,White,,,
2017-03-24,White House,Secretary of Commerce,Wilbur Ross,Cabinet member,,White,White,,,
2017-03-24,White House,Secretary of Energy,Rick Perry,Cabinet member,,White,White,,,
2017-03-24,White House,Secretary of Defense,James Mattis,Cabinet member,,White,White,,,
2017-03-24,White House,Texas Governor,Greg Abbott,U.S. politician,,White,White,Republican,,
2017-03-24,White House,,Bennie Adkins,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Donald Ballard,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Harvey Barnum,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Patrick Brady,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Edward Byers,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Bruce Crandall,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Sammy Davis,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Roger Donlon,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Michael Fitzmaurice,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Harold Fritz,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Salvatore Giunta,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Charles Hagemeister,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Thomas Kelley,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Gary Littrell,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Walter Marm,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Robert Modrzejewski,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Robert Patterson,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Ronald Ray,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Clinton Romesha,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Ronald Rosser,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Kenneth Stumpf,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,William Swenson,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Brian Thacker,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,,Michael E Thornton,,,White,White,,,Medal of Honor Recipient
2017-03-24,White House,Medal of Honor Recipient,Florent Groberg,,,White,White,,,
2017-03-24,By phone,National Political Reporter,Robert Costa,Media,Washington Post,White,White,,,
2017-03-24,By phone,Political Correspondent,Maggie Haberman,Media,New York Times,White,White,,,
2017-03-27,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-27,White House,Owner,Lisa Phillips,Executive,Celebrate Us,Black,Black,,,
2017-03-27,White House,Owner,Claudia Mirza,Executive,Akorbi,Hispanic,Hispanic,,,
2017-03-27,White House,Owner,Lisa Nichols,Executive,Technology Partners,White,White,,,
2017-03-27,White House,Owner,Amy Pope-Wells,Executive,"Link Staffing, Tire Diva",White,White,,,
2017-03-27,White House,Owner,Gil Valletta,Executive,CIEN+,Hispanic,Hispanic,,,
2017-03-27,White House,Owner,Shirley Perry,Executive,Hydrotech Corp,White,White,,,
2017-03-27,White House,Owner,Dyan Gibbens,Executive,Trumbull Unmanned,White,White,,,
2017-03-27,White House,Owner,Jessica Johnson-Cope,Executive,Johnson Security Bureau,Black,Black,,,
2017-03-27,White House,Owner,Suzie Rabinowitz,Executive,SRD Legal Group,White,White,,,
2017-03-27,White House,Owner,Patricia Funegra,Executive,La Cocina VA,Hispanic,Hispanic,,,
2017-03-28,EPA,"Chairman, President and CEO",Robert Murray,Executive,Murray Energy,White,White,,,
2017-03-28,White House,Secretary of State,Rex Tillerson,Cabinet member,,White,White,,,
2017-03-28,White House,Attorney General,Jeff Sessions,Cabinet member,,White,White,,,
2017-03-28,EPA,Secretary of the Interior,Ryan Zinke,Cabinet member,,White,White,,,
2017-03-28,EPA,EPA Administrator,Scott Pruitt,Cabinet member,,White,White,,,
2017-03-28,White House,Small Business Adminstrator,Linda McMahon,Cabinet member,,White,White,,,
2017-03-28,EPA,Secretary of Energy,Rick Perry,Cabinet member,,White,White,,,
2017-03-28,By phone,Chancellor of Germany,Angela Merkel,Foreign leader,,White,White,,Germany,
2017-03-28,White House,Senate Minority Leader,Chuck Schumer,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Texas Republican,John Cornyn,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Senate Majority Leader,Mitch McConnell,U.S. politician,,White,White,Republican,,
2017-03-28,White House,"California Senator, Top Democrat on Senate Judiciary",Dianne Feinstein,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Utah Senator,Orrin Hatch,U.S. politician,,White,White,Republican,,
2017-03-28,White House,West Virginia Senator,Joe Manchin,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Tennessee Senator,Lamar Alexander,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Delaware Senator,Chris Coons,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,West Virginia Senator,Shelley Capito,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Florida Senator,Marco Rubio,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-28,White House,Nebraska Senator,Deb Fischer,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Oklahoma Senator,James Inhofe,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Arkansas Senator,Tom Cotton,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Georgia Senator,David Perdue,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Alaska Senator,Lisa Murkowski,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Alaska Senator,Dan Sullivan,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Texas Senator,Ted Cruz,U.S. politician,,Hispanic,Hispanic,Republican,,
2017-03-28,White House,Florida Senator,Bill Nelson,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Alabama Senator,Luther Strange,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Maryland Senator,Ben Cardin,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Kentucky Senator,Rand Paul,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Wisconsin Senator,Tammy Baldwin,U.S. politician,,White,White,Democrat,,
2017-03-28,White House,Wyoming Senator,John Barrasso,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Missouri Senator,Roy Blunt,U.S. politician,,White,White,Republican,,
2017-03-28,White House,North Carolina Senator,Richard Burr,U.S. politician,,White,White,Republican,,
2017-03-28,White House,Louisiana Senator,Bill Cassidy,U.S. politician,,White,White,Republican,,
