name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Ao Xiaoqiang,Ao,ao-xiaoqiang,no-pic,,53,electrical equipment,Manufacturing,M,China,1506116020883,,,
Mohammed Bahwan,Bahwan,mohammed-bahwan,no-pic,,,auto dealerships,Automotive,M,Oman,1506116033822,,,
Shishir Bajaj,Bajaj,shishir-bajaj,shishir-bajaj,-9.613,70,consumer goods,Food and Beverage,M,India,1516704901086,1246.895,1822,1822
Harindarpal Banga,Banga,harindarpal-banga,harindarpal-banga,0,67,commodities,Finance and Investments,M,India,1516704901086,1005.824,2015,2015
Elena Baturina,Baturina,elena-baturina,elena-baturina,0,54,construction,Construction & Engineering,F,Russia,1516704901086,1058,1989,1989
Aldo Bensadoun,Bensadoun,aldo-bensadoun,aldo-bensadoun,,79,shoes,Fashion & Retail,M,Canada,1506116023653,,,
John Bloor,Bloor,john-bloor,no-pic,0,74,"real estate, manufacturing",Diversified,M,United Kingdom,1516704901086,1114.651,1944,1944
Alexei Bogachev,Bogachev,alexei-bogachev,alexei-bogachev,,47,"retail, banking",Diversified,M,Russia,1506116023762,,,
Saket Burman,Burman,saket-burman,no-pic,4.28,40,consumer goods,Food and Beverage,M,United Kingdom,1516704901086,1399.562,1685,1685
Fred Chang,Chang,fred-chang,no-pic,,61,online retailing,Technology,M,United States,1506116024793,,,
Chen Jiancheng,Chen,chen-jiancheng,chen-jiancheng,-6.56,59,manufacturing,Manufacturing,M,China,1516704901086,1000.1,2020,2020
Chey Ki-Won,Chey,chey-ki-won,chey-ki-won,34.478,53,"computer services, telecom",Technology,F,South Korea,1516704901086,1534.326,1569,1569
Yvon Chouinard,Chouinard,yvon-chouinard,no-pic,0,,Patagonia,Fashion & Retail,M,United States,1516704901086,1000,2021,2029
Eduardo Costantini,Costantini,eduardo-costantini,no-pic,-19.303,71,real estate,Real Estate,M,Argentina,1516704901086,1345.275,1731,1731
Brunello Cucinelli,Cucinelli,brunello-cucinelli,brunello-cucinelli,2.369,64,fashion,Fashion & Retail,M,Italy,1516704901086,1514.624,1585,1585
Philip Day,Day,philip-day,no-pic,0,52,clothing retail,Fashion & Retail,M,United Kingdom,1516704901086,1152.036,1915,1915
Bharat Desai,Desai,bharat-desai,bharat-desai,0.269,65,IT consulting,Technology,M,United States,1516704901086,1172.132,1892,1892
Beda Diethelm,Diethelm,beda-diethelm,no-pic,-11.755,77,hearing aids,Healthcare,M,Switzerland,1516704901086,1271.363,1799,1799
Paul Fireman,Fireman,paul-fireman,no-pic,0,73,Reebok,Fashion & Retail,M,United States,1516704901086,1082.1,1972,1972
Marcos Galperin,Galperin,marcos-galperin,no-pic,27.84,,e-commerce,Technology,M,Argentina,1516704901086,1609.08,1499,1499
Ken Grossman,Grossman,ken-grossman,ken-grossman,0,63,beer,Food and Beverage,M,United States,1516704901086,1025.468,2004,2004
Yuri Gushchin,Gushchin,yuri-gushchin,no-pic,0,73,"candy, real estate",Food and Beverage,M,Russia,1516704901086,1228.777,1838,1838
Torstein Hagen,Hagen,torstein-hagen,no-pic,0,74,cruises,Service,M,Norway,1516704901086,1000,2021,2028
Clelia Haji-Ioannou,Haji-Ioannou,clelia-haji-ioannou,no-pic-female,42.413,47,EasyJet,Service,F,Cyprus,1516704901086,1487.046,1606,1606
Stelios Haji-Ioannou,Haji-Ioannou,stelios-haji-ioannou,stelios-haji-ioannou,46.293,50,EasyJet,Service,M,Cyprus,1516704901086,1600.359,1506,1506
He Zhiping,He,he-zhiping,he-zhiping,,54,investments,Finance and Investments,M,China,1506116028112,,,
David Hindawi,Hindawi,david-hindawi,no-pic,,73,software,Technology,M,United States,1506116028548,,,
Orion Hindawi,Hindawi,orion-hindawi,orion-hindawi,,38,software,Technology,M,United States,1506116028450,,,
Hoi Kin Hong,Hoi,hoi-kin-hong,no-pic,68.877,65,real estate,Real Estate,M,Macau,1516704901086,1637.968,1480,1480
Drew Houston,Houston,drew-houston,drew-houston,0,34,Dropbox,Technology,M,United States,1516704901086,1040,1994,1994
Hua Yong,Hua,hua-yong,no-pic,,54,software,Technology,M,China,1506116024455,,,
